,merchant,category,amt,gender,street,city,state,zip,lat,long,city_pop,job,unix_time,age,month,year,is_fraud
0,Conroy Balistreri  Gorczany,health_fitness,20.16,F,35737 Kirby Fall Suite 409,Vanderbilt,PA,15486,40.0246,-79.6955,2303,Physiotherapist,1356114025,37,12,2019,1
1,Murray Smitham,grocery_pos,291.51,M,69459 Rachel Prairie Apt. 850,Ironton,OH,45638,38.5294,-82.6654,21635,Geochemist,1326022864,23,1,2019,1
2,Boyer PLC,shopping_net,907.77,F,084 Holmes Avenue Suite 206,Stayton,OR,97383,44.8021,-122.7624,9587,Engineer,1385474317,56,11,2020,1
3,Kunde Sanford,misc_net,745.05,M,5942 Thomas Park,Craig,AK,99921,55.4732,-133.1171,1920,Commissioning editor,1386023174,27,12,2020,1
4,Huel Ltd,misc_net,890.93,F,298 Kayla Lights,Bristol,PA,19007,40.1159,-74.8536,21125,Administrator,1383615539,39,11,2020,1
5,Greenholt Ltd,health_fitness,58.69,F,8699 Lindsay Ford Apt. 486,Napa,CA,94558,38.4549,-122.2564,94014,Airline pilot,1349288884,39,10,2019,0
6,Schmeler Inc,misc_pos,686.71,F,19838 Tonya Prairie Apt. 947,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,1356314829,36,12,2019,1
7,Swift PLC,kids_pets,71.76,F,4503 Patricia Route,Meridian,ID,83646,43.6498,-116.4306,84106,Intelligence analyst,1379011671,53,9,2020,0
8,Collier Inc,grocery_net,55.22,F,29606 Martinez Views Suite 653,Hinesburg,VT,5461,44.3346,-73.098,4542,Claims inspector,1361611871,26,2,2020,0
9,Fritsch  Sons,health_fitness,6.17,F,2838 White Fields Apt. 473,Brunson,SC,29911,32.9413,-81.1807,1725,Social researcher,1343150849,50,7,2019,0
10,Padberg Sauer,home,73.9,M,7290 Ashlee Keys,Kissee Mills,MO,65680,36.6704,-93.0377,1201,Engineer,1329152911,44,2,2019,0
11,Yost Schamberger  Windler,kids_pets,6.63,M,74835 Garner Point,Ruth,NV,89319,39.3426,-114.8859,450,Interpreter,1356651016,78,12,2019,1
12,Schoen Kuphal  Nitzsche,grocery_pos,193.01,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,1354929214,39,12,2019,0
13,Macejkovic Lesch,shopping_pos,717.37,F,825 Martinez Springs Apt. 625,White Sulphur Springs,WV,24986,37.7827,-80.3129,5216,Community development worker,1348142296,31,9,2019,1
14,Torphy Goyette,shopping_pos,824.98,F,57887 Gutierrez Harbor,Westfir,OR,97492,43.7575,-122.481,597,Forensic psychologist,1351723879,63,10,2019,1
15,Reichert Rowe  Mraz,shopping_net,16.16,F,71309 Martinez Stravenue,Kingsport,TN,37663,36.4715,-82.4834,87124,Warden,1339514870,37,6,2019,0
16,Koelpin  Sons,misc_net,50.27,F,7107 Henderson Station,Cascade Locks,OR,97014,45.67100000000001,-121.8686,1288,Barrister,1344394397,88,8,2019,0
17,Gibson Deckow,entertainment,687.06,M,785 Kevin Walk Suite 237,Brainard,NE,68626,41.1832,-96.9882,614,Associate Professor,1370904892,57,6,2020,1
18,Skiles Ankunding,grocery_net,8.31,F,6638 Lucero Mill Suite 952,Karnack,TX,75661,32.6205,-94.2,2807,Chiropodist,1369441451,93,5,2020,1
19,Heller Gutmann  Zieme,grocery_pos,345.67,F,3047 Jeff Place,Marathon,TX,79842,30.1886,-103.2214,498,Lexicographer,1333423476,34,4,2019,1
